Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Anointer of Valor,cmr,Near Mint,English,foil,,27:09.2,8,FALSE,FALSE,
1,1,Blood Pact,mid,Near Mint,English,foil,,27:09.2,88,FALSE,FALSE,
1,1,Brazen Freebooter,cmr,Near Mint,English,foil,,27:09.2,164,FALSE,FALSE,
1,1,Burnished Hart,cmr,Near Mint,English,foil,,27:09.2,302,FALSE,FALSE,
1,1,Champion of the Flame,cmr,Near Mint,English,foil,,27:09.2,167,FALSE,FALSE,
1,1,Elvish Visionary,cmr,Near Mint,English,foil,,27:09.2,223,FALSE,FALSE,
1,1,Explosion of Riches,cmr,Near Mint,English,foil,,27:09.2,176,FALSE,FALSE,
1,1,Eyeblight Cullers,cmr,Near Mint,English,foil,,27:09.2,124,FALSE,FALSE,
1,1,Fall from Favor,cmr,Near Mint,English,foil,,27:09.2,68,FALSE,FALSE,
2,2,Fin-Clade Fugitives,cmr,Near Mint,English,foil,,27:09.2,227,FALSE,FALSE,
1,1,Fire Diamond,cmr,Near Mint,English,foil,,27:09.2,309,FALSE,FALSE,
1,1,Fractal Summoning,stx,Near Mint,English,foil,,27:09.2,187,FALSE,FALSE,
1,1,Frost Trickster,stx,Near Mint,English,foil,,27:09.2,43,FALSE,FALSE,
1,1,Grinning Ignus,stx,Near Mint,English,foil,,27:09.2,104,FALSE,FALSE,
1,1,Hyena Umbra,2x2,Near Mint,English,foil,,27:09.2,13,FALSE,FALSE,
1,1,Kamahl's Will,cmr,Near Mint,English,foil,,27:09.2,238,FALSE,FALSE,
1,1,Keensight Mentor,iko,Near Mint,English,foil,,27:09.2,18,FALSE,FALSE,
1,1,Kinsbaile Courier,cmr,Near Mint,English,foil,,27:09.2,29,FALSE,FALSE,
1,1,Liliana's Standard Bearer,m21,Near Mint,English,foil,,27:09.2,110,FALSE,FALSE,
1,1,Lumengrid Gargoyle,cmr,Near Mint,English,foil,,27:09.2,321,FALSE,FALSE,
1,1,Make a Stand,cmr,Near Mint,English,foil,,27:09.2,32,FALSE,FALSE,
1,1,Marble Diamond,cmr,Near Mint,English,foil,,27:09.2,323,FALSE,FALSE,
1,1,Mephitic Vapors,grn,Near Mint,English,foil,,27:09.2,76,FALSE,FALSE,
1,1,Portent of Betrayal,cmr,Near Mint,English,foil,,27:09.2,194,FALSE,FALSE,
1,1,Rising Miasma,bfz,Near Mint,English,foil,,27:09.2,122,FALSE,FALSE,
1,1,Roots of Wisdom,khm,Near Mint,English,foil,,27:09.2,190,FALSE,FALSE,
2,2,Scholar of Stars,cmr,Near Mint,English,foil,,27:09.2,92,FALSE,FALSE,
1,1,Scrounging Bandar,cmr,Near Mint,English,foil,,27:09.2,252,FALSE,FALSE,
1,1,Scuttlegator,rna,Near Mint,English,foil,,27:09.2,218,FALSE,FALSE,
2,2,Skaab Goliath,cmr,Near Mint,English,foil,,27:09.2,97,FALSE,FALSE,
2,2,Skywhaler's Shot,cmr,Near Mint,English,foil,,27:09.2,46,FALSE,FALSE,
1,1,Soul of Eternity,cmr,Near Mint,English,foil,,27:09.2,50,FALSE,FALSE,
1,1,Spontaneous Mutation,cmr,Near Mint,English,foil,,27:09.2,100,FALSE,FALSE,
1,1,Terramorphic Expanse,cmr,Near Mint,English,foil,,27:09.2,357,FALSE,FALSE,
1,1,Tuya Bearclaw,cmr,Near Mint,English,foil,,27:09.2,292,FALSE,FALSE,
1,1,Wild Celebrants,cmr,Near Mint,English,foil,,27:09.2,212,FALSE,FALSE,
1,1,Abzan Battle Priest,ktk,Near Mint,English,,,27:09.2,1,FALSE,FALSE,
1,1,Aid from the Cowl,aer,Near Mint,English,,,27:09.2,105,FALSE,FALSE,
